iter	Passed	Remaining
399	32067	48100
400	32139	48008
401	32218	47927
402	32286	47829
403	32351	47725
404	32416	47624
405	32490	47535
406	32563	47445
407	32626	47341
408	32690	47237
409	32766	47152
410	32842	47065
411	32912	46972
412	32983	46879
413	33040	46767
414	33108	46670
415	33180	46579
416	33240	46473
417	33297	46362
418	33369	46270
419	33439	46178
420	33537	46123
421	33619	46047
422	33671	45930
423	33739	45835
424	33808	45740
425	33872	45640
426	33945	45551
427	34012	45456
428	34081	45362
429	34177	45304
430	34249	45215
431	34312	45114
432	34385	45027
433	34459	44939
434	34553	44879
435	34633	44801
436	34693	44696
437	34768	44611
438	34830	44509
439	34900	44419
440	34974	44332
441	35039	44235
442	35109	44145
443	35170	44042
444	35228	43936
445	35291	43837
446	35359	43744
447	35427	43652
448	35476	43535
449	35560	43463
450	35616	43355
451	35695	43276
452	35759	43179
453	35817	43075
454	35861	42955
455	35903	42832
456	35966	42734
457	36036	42646
458	36121	42574
459	36218	42517
460	36295	42436
461	36345	42324
462	36404	42223
463	36464	42123
464	36528	42027
465	36608	41950
466	36658	41839
467	36706	41726
468	36770	41631
469	36825	41527
470	36876	41417
471	36924	41305
472	37006	41231
473	37069	41135
474	37135	41044
475	37190	40940
476	37250	40843
477	37311	40746
478	37396	40676
479	37480	40603
480	37584	40553
481	37667	40481
482	37740	40396
483	37808	40308
484	37869	40212
485	37960	40147
486	38042	40073
487	38114	39989
488	38192	39910
489	38260	39822
490	38341	39746
491	38433	39683
492	38612	39709
493	38693	39633
494	38805	39589
495	38891	39518
496	38959	39430
497	39016	39330
498	39084	39240
499	39147	39147
500	39206	39049
501	39272	38959
502	39328	38859
503	39412	38786
504	39470	38689
505	39538	38601
506	39609	38515
507	39666	38417
508	39732	38327
509	39815	38254
510	39887	38170
511	39967	38093
512	40036	38007
513	40115	37929
514	40187	37846
515	40241	37746
516	40287	37638
517	40343	37539
518	40428	37468
519	40516	37400
520	40572	37301
521	40639	37213
522	40697	37118
523	40768	37034
524	40837	36948
525	40900	36857
526	40962	36765
527	41036	36684
528	41097	36591
529	41174	36513
530	41251	36435
531	41334	36362
532	41419	36290
533	41505	36220
534	41562	36124
535	41613	36023
536	41662	35921
537	41760	35861
538	41823	35770
539	41874	35670
540	41932	35576
541	42003	35493
542	42050	35390
543	42116	35303
544	42163	35201
545	42216	35102
546	42264	35001
547	42314	34901
548	42380	34815
549	42443	34726
550	42511	34642
551	42579	34557
552	42635	34462
553	42714	34387
554	42776	34298
555	42852	34220
556	42910	34128
557	42978	34043
558	43032	33948
559	43088	33854
560	43166	33779
561	43248	33706
562	43316	33622
563	43382	33537
564	43457	33458
565	43517	33368
566	43582	33282
567	43652	33200
568	43721	33117
569	43774	33022
570	43825	32926
571	43892	32842
572	43947	32749
573	44026	32674
574	44094	32591
575	44157	32504
576	44223	32420
577	44308	32349
578	44398	32282
579	44464	32198
580	44526	32110
581	44590	32025
582	44655	31940
583	44730	31862
584	44783	31769
585	44851	31686
586	44916	31601
587	44964	31505
588	45025	31418
589	45080	31327
590	45142	31240
591	45189	31143
592	45246	31054
593	45313	30972
594	45380	30889
595	45436	30799
596	45499	30714
597	45547	30618
598	45592	30521
599	45654	30436
600	45697	30338
601	45749	30246
602	45804	30156
603	45855	30064
604	45913	29976
605	45965	29885
606	46025	29798
607	46084	29712
608	46130	29617
609	46180	29525
610	46246	29443
611	46312	29361
612	46379	29280
613	46452	29202
614	46520	29122
615	46578	29035
616	46622	28940
617	46684	28856
618	46747	28773
619	46820	28696
620	46882	28612
621	46939	28526
622	47003	28443
623	47052	28352
624	47113	28267
625	47164	28178
626	47218	28090
627	47274	28003
628	47337	27920
629	47396	27835
630	47459	27753
631	47506	27662
632	47580	27585
633	47638	27501
634	47701	27418
635	47758	27333
636	47818	27249
637	47885	27170
638	47943	27085
639	48002	27001
640	48076	26925
641	48135	26842
642	48191	26756
643	48255	26675
644	48322	26596
645	48388	26516
646	48450	26434
647	48505	26348
648	48558	26261
649	48615	26177
650	48659	26086
651	48721	26004
652	48782	25922
653	48848	25843
654	48907	25760
655	48965	25677
656	49044	25604
657	49115	25528
658	49179	25448
659	49236	25364
660	49304	25286
661	49358	25200
662	49408	25114
663	49455	25025
664	49518	24945
665	49587	24868
666	49638	24782
667	49704	24703
668	49754	24616
669	49814	24535
670	49875	24454
671	49936	24373
672	49984	24286
673	50036	24201
674	50086	24115
675	50149	24036
676	50209	23955
677	50261	23870
678	50312	23785
679	50358	23698
680	50411	23614
681	50471	23533
682	50534	23454
683	50603	23378
684	50647	23290
685	50701	23207
686	50773	23132
687	50829	23050
688	50879	22965
689	50933	22883
690	50980	22797
691	51035	22715
692	51090	22632
693	51147	22552
694	51200	22469
695	51283	22399
696	51367	22330
697	51441	22256
698	51506	22179
699	51569	22101
700	51655	22032
701	51737	21962
702	51799	21884
703	51852	21801
704	51902	21717
705	51965	21640
706	52032	21563
707	52105	21489
708	52182	21417
709	52263	21347
710	52332	21271
711	52393	21193
712	52463	21117
713	52520	21037
714	52580	20958
715	52641	20880
716	52701	20801
717	52756	20720
718	52814	20641
719	52863	20558
720	52938	20485
721	53003	20408
722	53045	20323
723	53095	20240
724	53149	20160
725	53204	20079
726	53282	20008
727	53332	19926
728	53391	19847
729	53440	19765
730	53510	19691
731	53577	19615
732	53651	19542
733	53719	19467
734	53785	19392
735	53846	19314
736	53912	19238
737	53964	19158
738	54034	19083
739	54083	19002
740	54136	18922
741	54187	18841
742	54260	18768
743	54313	18688
744	54372	18610
745	54443	18536
746	54515	18463
747	54570	18384
