iter	Logloss
0	0.6444858221
1	0.606498966
2	0.572956162
3	0.5480870495
4	0.5275218119
5	0.5105496934
6	0.4963323354
7	0.4824001727
8	0.4733603557
9	0.4646627712
10	0.4568634314
11	0.4502539354
12	0.4451103187
13	0.441123534
14	0.4379866997
15	0.4348207124
16	0.432175739
17	0.4294890715
18	0.4274452047
19	0.4255433357
20	0.4237897017
21	0.4224419558
22	0.4212365878
23	0.4202443811
24	0.4193375292
25	0.4185225489
26	0.4178347614
27	0.4171468202
28	0.4164326693
29	0.4157919703
30	0.4151784912
31	0.4146509486
32	0.4141948314
33	0.4138243786
34	0.4133995391
35	0.4130658691
36	0.4126939544
37	0.4124674019
38	0.412145576
39	0.4119298918
40	0.4117417534
41	0.411517773
42	0.4113515648
43	0.4111858859
44	0.4110521584
45	0.4108752614
46	0.410735407
47	0.4106280418
48	0.4105450934
49	0.4104318577
50	0.4103888651
51	0.4102960004
52	0.4102314492
53	0.4100629135
54	0.4099941162
55	0.4098761322
56	0.4098344059
57	0.4098603585
58	0.4096831363
59	0.4096679561
60	0.4095540493
61	0.4094376618
62	0.4094066422
63	0.4093959733
64	0.4093648231
65	0.4093255136
66	0.409217658
67	0.4091879947
68	0.4091301972
69	0.4091130518
70	0.4090999683
71	0.4090463933
72	0.4090230808
73	0.4089893421
74	0.4089981934
75	0.4088843242
76	0.4088033768
77	0.4088305229
78	0.408789025
79	0.4087473339
80	0.408707366
81	0.4086530307
82	0.408603941
83	0.4085547858
84	0.4085841912
85	0.4084768692
86	0.4085015201
87	0.4084418986
88	0.4083306379
89	0.4083043786
90	0.4083312086
91	0.408297864
92	0.4082670516
93	0.4082125415
94	0.4082347668
95	0.4081854845
96	0.4081190221
97	0.4081312619
98	0.4081148681
99	0.4080928271
100	0.4080727463
101	0.4080348339
102	0.4079778397
103	0.4079805826
104	0.4079661345
105	0.4079601999
106	0.4079500102
107	0.4079354674
108	0.4079044912
109	0.4078939956
110	0.4078640575
111	0.4078463087
112	0.4078440827
113	0.4078133429
114	0.4078043518
115	0.4078080565
116	0.4078078231
117	0.407800486
118	0.4077867338
119	0.4077921944
120	0.4077895825
121	0.4077667298
122	0.4077655239
123	0.4077598446
124	0.4077390174
125	0.4076984675
126	0.4076818228
127	0.4076757498
128	0.4076465697
129	0.4076459647
130	0.407637768
131	0.4076255385
132	0.4076259902
133	0.4076306604
134	0.4076324855
135	0.4076293161
136	0.4076307368
137	0.407628795
138	0.4076227001
139	0.4076279096
140	0.4076237273
141	0.4076289806
142	0.4076266162
143	0.4076192793
144	0.4076103249
145	0.40760309
146	0.4076024561
147	0.4076006893
148	0.4075893742
149	0.4075796875
150	0.4075791264
151	0.4075657277
152	0.4075629117
153	0.4075597858
154	0.4075586783
155	0.40755423
156	0.4075680442
157	0.4075667692
158	0.4075601499
159	0.407559017
160	0.4075326892
161	0.4075407694
162	0.4075406747
163	0.4075368057
164	0.4075352321
165	0.4075293487
166	0.4075256912
167	0.407514478
168	0.4075127186
169	0.4075105293
170	0.4075071777
171	0.4075063506
172	0.4075062522
173	0.4075033159
174	0.4075010792
175	0.4074927587
176	0.407489859
177	0.4074891267
178	0.4074793782
179	0.4074691669
180	0.4074727807
181	0.4074693818
182	0.4074733126
183	0.4074665547
184	0.4074566531
185	0.4074567879
186	0.4074547552
187	0.407446628
188	0.4074440743
189	0.4074357246
190	0.407431987
191	0.4074133566
192	0.407415036
193	0.4074144496
194	0.4074114113
195	0.4073991891
196	0.4073977355
197	0.4073977355
198	0.4074152073
199	0.4074050871
200	0.4073913424
201	0.407390989
202	0.4073868033
203	0.4073993202
204	0.4073840964
205	0.4073990106
206	0.407397058
207	0.4073852694
208	0.4073834989
209	0.4073799797
210	0.4073774953
211	0.4073775789
212	0.4073691891
213	0.4073761034
214	0.4073675387
215	0.4073638448
216	0.4073710178
217	0.4073619213
218	0.4073564167
219	0.4073743401
220	0.407363965
221	0.4073581033
222	0.4073548465
223	0.4073527808
224	0.4073416989
225	0.4073385696
226	0.4073382128
227	0.4073461107
228	0.4073447993
229	0.4073432071
230	0.407354187
231	0.407351269
232	0.4073351526
233	0.4073387409
234	0.4073374368
235	0.4073356445
236	0.4073283402
237	0.4073210323
238	0.4073177392
239	0.4073120344
240	0.4073101509
241	0.4073104678
242	0.4073062784
243	0.4073091891
244	0.4073051164
245	0.4072944534
246	0.4072943004
247	0.4072886975
248	0.4072907412
249	0.4072932293
250	0.4073006754
251	0.4072995133
252	0.4072968466
253	0.4072944897
254	0.4072958376
255	0.4072911674
256	0.4072907594
257	0.407288887
258	0.4072734918
259	0.4072710619
260	0.4072703552
261	0.4072795392
262	0.407267947
263	0.407277641
264	0.4072759868
265	0.4072755208
266	0.4072644352
267	0.4072615464
268	0.4072646609
269	0.4072694114
270	0.4072680525
271	0.4072679505
272	0.4072608759
273	0.4072568105
274	0.4072501584
275	0.4072488797
276	0.4072432295
277	0.4072406503
278	0.4072333463
279	0.4072310586
280	0.4072260787
281	0.4072332372
282	0.4072279694
283	0.4072278018
284	0.4072183666
285	0.4072128765
286	0.4072141589
287	0.4072137692
288	0.407212618
289	0.4072148802
290	0.4072145561
291	0.407202272
292	0.4071967419
293	0.4072047564
294	0.4071924067
295	0.4071909059
296	0.4071890077
297	0.4071882317
298	0.407198086
299	0.4071864031
300	0.4071929604
301	0.4071872154
302	0.407187547
303	0.4071969894
304	0.4071949565
305	0.4071944976
306	0.4071902863
307	0.4071872336
308	0.4071705853
309	0.4071705378
310	0.4071769167
311	0.4071701919
312	0.4071553834
313	0.407143715
314	0.4071401669
315	0.407138145
316	0.4071360286
317	0.4071343967
318	0.4071315149
319	0.4071314385
320	0.4071299885
321	0.4071263347
322	0.4071231144
323	0.407121089
324	0.4071178905
325	0.4071173514
326	0.4071169726
327	0.407115938
328	0.4071130783
329	0.4071071512
330	0.4071077814
331	0.4071181384
332	0.4071015993
333	0.407098856
334	0.4070972569
335	0.4070952532
336	0.4070923861
337	0.4070895118
338	0.4071014063
339	0.4071019929
340	0.407084922
341	0.4070966998
342	0.4070959165
343	0.4070817746
344	0.4070994358
345	0.4070787109
346	0.4070785506
347	0.4070961681
348	0.4070795087
349	0.407080128
350	0.4070754725
351	0.4070697095
352	0.4070752357
353	0.4070620883
354	0.4070601794
355	0.4070600557
356	0.4070571413
357	0.4070580409
358	0.4070522779
359	0.4070509664
360	0.4070506057
361	0.4070465803
362	0.407046471
363	0.4070481031
364	0.4070492069
365	0.4070400994
366	0.4070352071
367	0.4070340924
368	0.4070324712
369	0.4070326461
370	0.4070327592
371	0.4070338084
372	0.4070318995
373	0.4070243365
374	0.4070214622
375	0.4070208468
376	0.407023007
377	0.4070202237
378	0.4070191309
379	0.4070184605
380	0.4070161946
381	0.4070141145
382	0.4070082093
383	0.4070127813
384	0.4070114261
385	0.407008111
386	0.4070074516
387	0.4070049272
388	0.4070041439
389	0.4070032259
390	0.4069977979
391	0.4069947122
392	0.4069968653
393	0.4069973389
394	0.4069969018
395	0.4069959255
396	0.4069934336
397	0.4069920019
398	0.4069898999
399	0.4069928691
400	0.4069885303
401	0.4069874045
402	0.4069679548
403	0.4069674484
404	0.4069839548
405	0.4069821441
406	0.4069781333
407	0.4069596999
408	0.4069802972
409	0.4069794739
410	0.4069608984
411	0.4069582536
412	0.4069565742
413	0.4069562318
414	0.406954199
415	0.4069514085
416	0.4069475871
417	0.4069472666
418	0.4069459149
419	0.4069460314
420	0.4069434413
421	0.4069412265
422	0.4069414123
423	0.4069397838
424	0.4069401663
425	0.4069422683
426	0.4069410297
427	0.4069386471
428	0.4069359186
429	0.4069334559
430	0.4069304031
431	0.4069306946
432	0.4069300461
433	0.4069314124
434	0.4069306765
435	0.4069276417
436	0.4069287748
437	0.4069256637
438	0.4069212921
439	0.4069215289
440	0.4069205345
441	0.4069198677
442	0.4069178094
443	0.4069171355
444	0.4069169133
445	0.4069137912
